Sample	Site	Phase	Treatment	Timepoint	Incubation	Label	delta15N	atom_perc	atom_perc_ex	timesSD	medium_atom_perc_ex	N_ug	g_DW_ind	rate_ng_h	rate_nmol_h
Epiphytes	Vent	Light	Y	T2	18	Fix_A_L_T2_+Epi_d	23.38282961	0.375009057	0.005856607	42.09369675	11.2179497	1709.489057	0.025	1983.29096	141.5958763
Epiphytes	Vent	Light	Ctrl	T2	18	Fix_A_L_T2_C1	7.336325451	0.369150672	-1.78E-06	-0.012775302	0.063248168	4777.171349	0.031	0	0
Epiphytes	Vent	Light	Ctrl	T2	18	Fix_A_L_T2_C3	8.202552667	0.369466939	0.000314489	2.260355388	0.063248168	3056.311302	0.022	0	0
Epiphytes	Vent	Dark	Y	T2	18	Fix_A_D_T2_+Epi_a	7.993603245	0.36939065	0.0002382	1.712037128	14.70600411	1108.633888	0.02	0	0
Epiphytes	Vent	Dark	Y	T2	18	Fix_A_D_T2_+Epi_b	8.039247536	0.369407315	0.000254865	1.831815461	14.70600411	3578.925022	0.029	0	0
Epiphytes	Vent	Dark	Y	T2	18	Fix_A_D_T2_+Epi_c	8.009832326	0.369396575	0.000244126	1.754624984	14.70600411	2296.864708	0.026	0	0
Epiphytes	Vent	Dark	Y	T2	18	Fix_A_D_T2_+Epi_d	9.048493531	0.369775797	0.000623347	4.480237239	14.70600411	1289.741381	0.024	126.5477003	9.034797654
Epiphytes	Vent	Dark	Ctrl	T2	18	Fix_A_D_T2_C1	6.408224863	0.368811813	-0.000340637	-2.448288484	0.031481835	917.360279	0.023	0	0
Epiphytes	Vent	Dark	Ctrl	T2	18	Fix_A_D_T2_C2	7.721766133	0.3692914	0.00013895	0.998689785	0.031481835	4220.29405	0.032	0	0
Epiphytes	Vent	Dark	Ctrl	T2	18	Fix_A_D_T2_C3	8.006789373	0.369395464	0.000243015	1.746639762	0.031481835	3311.895015	0.025	0	0
Epiphytes	Ambient	Start	Start	T0	0	Fix_C_+Epi_T0_a	7.228024515	0.369111131	NA	NA	NA	NA	NA	NA	NA
Epiphytes	Ambient	Start	Start	T0	0	Fix_C_+Epi_T0_b	7.831018097	0.369331289	NA	NA	NA	NA	NA	NA	NA
Epiphytes	Ambient	Start	Start	T0	0	Fix_C_+Epi_T0_c	8.098903765	0.369429096	NA	NA	NA	NA	NA	NA	NA
